"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"ASN00009021","PERTH AIRPORT, AS","2014-06-22","0.71","48","61","43"
"ASN00009021","PERTH AIRPORT, AS","2014-06-23","0.07","48","61","34"
"ASN00009021","PERTH AIRPORT, AS","2014-06-24","0.00","50","64","39"
"ASN00009021","PERTH AIRPORT, AS","2014-06-25","0.00","52","68","37"
"ASN00009021","PERTH AIRPORT, AS","2014-06-26","0.00","55","68","41"
"ASN00009021","PERTH AIRPORT, AS","2014-06-27","0.07","51","64","37"
"ASN00009021","PERTH AIRPORT, AS","2014-06-28","0.00","49","60","41"
"ASN00009021","PERTH AIRPORT, AS","2014-06-29","0.00","56","62","38"
"ASN00009021","PERTH AIRPORT, AS","2014-06-30","0.00","62","71","49"
"ASN00009021","PERTH AIRPORT, AS","2014-07-01","0.00","66","73","54"
"ASN00009021","PERTH AIRPORT, AS","2014-07-02","0.47","54","67","61"
"ASN00009021","PERTH AIRPORT, AS","2014-07-03","0.26","49","60","36"
"ASN00009021","PERTH AIRPORT, AS","2014-07-04","0.00","58","69","40"
"ASN00009021","PERTH AIRPORT, AS","2014-07-05","0.13","65","72","51"
"ASN00009021","PERTH AIRPORT, AS","2014-07-06","0.03","58","67","58"
"ASN00009021","PERTH AIRPORT, AS","2014-07-07","0.66","56","63","51"
"ASN00009021","PERTH AIRPORT, AS","2014-07-08","0.73","49","62","49"
"ASN00009021","PERTH AIRPORT, AS","2014-07-09","0.04","49","60","37"
"ASN00009021","PERTH AIRPORT, AS","2014-07-10","0.00","54","64","37"
"ASN00009021","PERTH AIRPORT, AS","2014-07-11","0.00","56","66","47"
"ASN00009021","PERTH AIRPORT, AS","2014-07-12","0.00","54","64","49"
"ASN00009021","PERTH AIRPORT, AS","2014-07-13","0.00","55","67","44"
"ASN00009021","PERTH AIRPORT, AS","2014-07-14","0.57","55","64","44"
"ASN00009021","PERTH AIRPORT, AS","2014-07-15","0.24","56","66","46"
"ASN00009021","PERTH AIRPORT, AS","2014-07-16","0.07","49","63","48"
"ASN00009021","PERTH AIRPORT, AS","2014-07-17","0.00","52","63","37"
"ASN00009021","PERTH AIRPORT, AS","2014-07-18","0.00","56","68","44"
"ASN00009021","PERTH AIRPORT, AS","2014-07-19","0.00","56","69","48"
"ASN00009021","PERTH AIRPORT, AS","2014-07-20","0.10","53","63","49"
"ASN00009021","PERTH AIRPORT, AS","2014-07-21","0.03","55","63","45"
"ASN00009021","PERTH AIRPORT, AS","2014-07-22","1.15","52","60","48"
"ASN00009021","PERTH AIRPORT, AS","2014-07-23","0.17","52","60","46"
"ASN00009021","PERTH AIRPORT, AS","2014-07-24","0.12","57","67","48"
"ASN00009021","PERTH AIRPORT, AS","2014-07-25","0.05","59","67","52"
"ASN00009021","PERTH AIRPORT, AS","2014-07-26","0.13","54","64","55"
"ASN00009021","PERTH AIRPORT, AS","2014-07-27","0.39","56","65","45"
"ASN00009021","PERTH AIRPORT, AS","2014-07-28","0.10","58","66","48"
"ASN00009021","PERTH AIRPORT, AS","2014-07-29","0.04","61","67","51"
"ASN00009021","PERTH AIRPORT, AS","2014-07-30","0.00","59","66","57"
"ASN00009021","PERTH AIRPORT, AS","2014-07-31","0.00","49","61","44"
